"[[[72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429]]]",18,38,314
"[[[74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429]]]",19,"['35', 'T']"
"[[[76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.7142857142857143]]]",20,"['36', 'T']",93,643,667,687
"[[[79.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.26785714285714285]]]",32,82,163,249,275,483,560,697,721
"[[[77.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.26785714285714285], [76.0, 90.0, 0.08928571428571429]]]",33,722
"[[[76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.26785714285714285], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429]]]",34,723
"[[[74.0, 90.0, 0.08928571428571429], [76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.26785714285714285], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429]]]",35,"['19', 'T']",92
"[[[76.0, 90.0, 0.08928571428571429], [77.0, 90.0, 0.26785714285714285], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429]]]",36,"['20', 'T']",93,643,687
"[[[77.0, 90.0, 0.26785714285714285], [76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429]]]",37,90,"['97', 'T']",226,313,418,452,581,644
"[[[76.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.26785714285714285]]]",38,18,91
"[[[74.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.26785714285714285], [72.0, 90.0, 0.08928571428571429]]]",39,491,724
"[[[72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.26785714285714285], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429]]]",40,492
"[[[71.0, 90.0, 0.08928571428571429], [72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.26785714285714285], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [69.0, 90.0, 0.08928571428571429]]]",41,83,164,250,276,484,561,698
"[[[72.0, 90.0, 0.08928571428571429], [74.0, 90.0, 0.26785714285714285], [72.0, 90.0, 0.08928571428571429], [71.0, 90.0, 0.08928571428571429], [69.0, 90.0, 0.08928571428571429], [67.0, 90.0, 0.5357142857142857]]]",42,84,165,624
